Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,10,75-84,1,Male,2,Black Non Hispanic,4,Kings,8233
2003,10,75-84,1,Male,3,Other Non Hispanic,4,Kings,2272
2003,10,75-84,1,Male,5,Hispanic,4,Kings,3570
2003,10,75-84,2,Female,0,Total,4,Kings,65135
2003,10,75-84,2,Female,1,White Non Hispanic,4,Kings,38462
2003,10,75-84,2,Female,2,Black Non Hispanic,4,Kings,17428
2003,10,75-84,2,Female,3,Other Non Hispanic,4,Kings,2863
2003,10,75-84,2,Female,5,Hispanic,4,Kings,6382
2003,11,85+,0,Total,0,Total,4,Kings,40652
2003,11,85+,0,Total,1,White Non Hispanic,4,Kings,27955
2003,11,85+,0,Total,2,Black Non Hispanic,4,Kings,8610
2003,11,85+,0,Total,3,Other Non Hispanic,4,Kings,1460
2003,11,85+,0,Total,5,Hispanic,4,Kings,2627
2003,11,85+,1,Male,0,Total,4,Kings,12198
2003,11,85+,1,Male,1,White Non Hispanic,4,Kings,8679
2003,11,85+,1,Male,2,Black Non Hispanic,4,Kings,2212
2003,11,85+,1,Male,3,Other Non Hispanic,4,Kings,523
2003,11,85+,1,Male,5,Hispanic,4,Kings,784
2003,11,85+,2,Female,0,Total,4,Kings,28454
2003,11,85+,2,Female,1,White Non Hispanic,4,Kings,19276
2003,11,85+,2,Female,2,Black Non Hispanic,4,Kings,6398
2003,11,85+,2,Female,3,Other Non Hispanic,4,Kings,937
2003,11,85+,2,Female,5,Hispanic,4,Kings,1843
2009,1,<1,0,Total,0,Total,4,Kings,40259
2004,0,Total,0,Total,0,Total,4,Kings,2475290
2004,0,Total,0,Total,1,White Non Hispanic,4,Kings,886613
2004,0,Total,0,Total,2,Black Non Hispanic,4,Kings,867617
2004,0,Total,0,Total,3,Other Non Hispanic,4,Kings,227452
2004,0,Total,0,Total,5,Hispanic,4,Kings,493608
2004,0,Total,1,Male,0,Total,4,Kings,1164943
2004,0,Total,1,Male,1,White Non Hispanic,4,Kings,427799
2004,0,Total,1,Male,2,Black Non Hispanic,4,Kings,381416
2004,0,Total,1,Male,3,Other Non Hispanic,4,Kings,115426
