Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,11,85+,0,Total,3,Other Non Hispanic,6,Queens,2922
2003,11,85+,0,Total,5,Hispanic,6,Queens,3415
2003,11,85+,1,Male,0,Total,6,Queens,12536
2003,11,85+,1,Male,1,White Non Hispanic,6,Queens,9025
2003,11,85+,1,Male,2,Black Non Hispanic,6,Queens,1416
2003,11,85+,1,Male,3,Other Non Hispanic,6,Queens,1154
2003,11,85+,1,Male,5,Hispanic,6,Queens,941
2003,11,85+,2,Female,0,Total,6,Queens,28419
2003,11,85+,2,Female,1,White Non Hispanic,6,Queens,20323
2003,11,85+,2,Female,2,Black Non Hispanic,6,Queens,3854
2003,11,85+,2,Female,3,Other Non Hispanic,6,Queens,1768
2003,11,85+,2,Female,5,Hispanic,6,Queens,2474
2004,0,Total,0,Total,0,Total,6,Queens,2237216
2004,0,Total,0,Total,1,White Non Hispanic,6,Queens,727195
2004,0,Total,0,Total,2,Black Non Hispanic,6,Queens,444373
2004,0,Total,0,Total,3,Other Non Hispanic,6,Queens,485873
2004,0,Total,0,Total,5,Hispanic,6,Queens,579775
2004,0,Total,1,Male,0,Total,6,Queens,1082538
2004,0,Total,1,Male,1,White Non Hispanic,6,Queens,348597
2004,0,Total,1,Male,2,Black Non Hispanic,6,Queens,199900
2004,0,Total,1,Male,3,Other Non Hispanic,6,Queens,243424
2004,0,Total,1,Male,5,Hispanic,6,Queens,290617
2004,0,Total,2,Female,0,Total,6,Queens,1154678
2004,0,Total,2,Female,1,White Non Hispanic,6,Queens,378598
2004,0,Total,2,Female,2,Black Non Hispanic,6,Queens,244473
2004,0,Total,2,Female,3,Other Non Hispanic,6,Queens,242449
2004,0,Total,2,Female,5,Hispanic,6,Queens,289158
2004,1,<1,0,Total,0,Total,6,Queens,30747
2004,1,<1,0,Total,1,White Non Hispanic,6,Queens,7142
2004,1,<1,0,Total,2,Black Non Hispanic,6,Queens,6360
2004,1,<1,0,Total,3,Other Non Hispanic,6,Queens,6876
2004,1,<1,0,Total,5,Hispanic,6,Queens,10369
2004,1,<1,1,Male,0,Total,6,Queens,15781
2004,1,<1,1,Male,1,White Non Hispanic,6,Queens,3727
2004,1,<1,1,Male,2,Black Non Hispanic,6,Queens,3239
2004,1,<1,1,Male,3,Other Non Hispanic,6,Queens,3561
2004,1,<1,1,Male,5,Hispanic,6,Queens,5254
2004,1,<1,2,Female,0,Total,6,Queens,14966
2004,1,<1,2,Female,1,White Non Hispanic,6,Queens,3415
2004,1,<1,2,Female,2,Black Non Hispanic,6,Queens,3121
2004,1,<1,2,Female,3,Other Non Hispanic,6,Queens,3315
2004,1,<1,2,Female,5,Hispanic,6,Queens,5115
2004,2,01-09,0,Total,0,Total,6,Queens,250894
2004,2,01-09,0,Total,1,White Non Hispanic,6,Queens,61031
2004,2,01-09,0,Total,2,Black Non Hispanic,6,Queens,54940
2004,2,01-09,0,Total,3,Other Non Hispanic,6,Queens,55685
2004,2,01-09,0,Total,5,Hispanic,6,Queens,79238
2004,2,01-09,1,Male,0,Total,6,Queens,128558
2004,2,01-09,1,Male,1,White Non Hispanic,6,Queens,31403
2004,2,01-09,1,Male,2,Black Non Hispanic,6,Queens,27867
2004,2,01-09,1,Male,3,Other Non Hispanic,6,Queens,28634
2004,2,01-09,1,Male,5,Hispanic,6,Queens,40654
2004,2,01-09,2,Female,0,Total,6,Queens,122336
2004,2,01-09,2,Female,1,White Non Hispanic,6,Queens,29628
2004,2,01-09,2,Female,2,Black Non Hispanic,6,Queens,27073
2004,2,01-09,2,Female,3,Other Non Hispanic,6,Queens,27051
2004,2,01-09,2,Female,5,Hispanic,6,Queens,38584
2004,3,10-19,0,Total,0,Total,6,Queens,262697
2004,3,10-19,0,Total,1,White Non Hispanic,6,Queens,63429
2004,3,10-19,0,Total,2,Black Non Hispanic,6,Queens,66044
2004,3,10-19,0,Total,3,Other Non Hispanic,6,Queens,56245
2004,3,10-19,0,Total,5,Hispanic,6,Queens,76979
2004,3,10-19,1,Male,0,Total,6,Queens,134365
2004,3,10-19,1,Male,1,White Non Hispanic,6,Queens,32864
2004,3,10-19,1,Male,2,Black Non Hispanic,6,Queens,32940
2004,3,10-19,1,Male,3,Other Non Hispanic,6,Queens,29419
2004,3,10-19,1,Male,5,Hispanic,6,Queens,39142
2004,3,10-19,2,Female,0,Total,6,Queens,128332
2004,3,10-19,2,Female,1,White Non Hispanic,6,Queens,30565
2004,3,10-19,2,Female,2,Black Non Hispanic,6,Queens,33104
2004,3,10-19,2,Female,3,Other Non Hispanic,6,Queens,26826
2004,3,10-19,2,Female,5,Hispanic,6,Queens,37837
2004,4,20-24,0,Total,0,Total,6,Queens,143563
2004,4,20-24,0,Total,1,White Non Hispanic,6,Queens,32480
2004,4,20-24,0,Total,2,Black Non Hispanic,6,Queens,31187
2004,4,20-24,0,Total,3,Other Non Hispanic,6,Queens,32948
2004,4,20-24,0,Total,5,Hispanic,6,Queens,46948
2004,4,20-24,1,Male,0,Total,6,Queens,73782
2004,4,20-24,1,Male,1,White Non Hispanic,6,Queens,16636
2004,4,20-24,1,Male,2,Black Non Hispanic,6,Queens,14789
2004,4,20-24,1,Male,3,Other Non Hispanic,6,Queens,16682
2004,4,20-24,1,Male,5,Hispanic,6,Queens,25675
2004,4,20-24,2,Female,0,Total,6,Queens,69781
2004,4,20-24,2,Female,1,White Non Hispanic,6,Queens,15844
2004,4,20-24,2,Female,2,Black Non Hispanic,6,Queens,16398
2004,4,20-24,2,Female,3,Other Non Hispanic,6,Queens,16266
2004,4,20-24,2,Female,5,Hispanic,6,Queens,21273
2004,5,25-34,0,Total,0,Total,6,Queens,352298
2004,5,25-34,0,Total,1,White Non Hispanic,6,Queens,98724
2004,5,25-34,0,Total,2,Black Non Hispanic,6,Queens,58464
2004,5,25-34,0,Total,3,Other Non Hispanic,6,Queens,84374
2004,5,25-34,0,Total,5,Hispanic,6,Queens,110736
2004,5,25-34,1,Male,0,Total,6,Queens,177660
2004,5,25-34,1,Male,1,White Non Hispanic,6,Queens,50336
2004,5,25-34,1,Male,2,Black Non Hispanic,6,Queens,26588
2004,5,25-34,1,Male,3,Other Non Hispanic,6,Queens,40949
2004,5,25-34,1,Male,5,Hispanic,6,Queens,59787
2004,5,25-34,2,Female,0,Total,6,Queens,174638
2004,5,25-34,2,Female,1,White Non Hispanic,6,Queens,48388
2004,5,25-34,2,Female,2,Black Non Hispanic,6,Queens,31876
2004,5,25-34,2,Female,3,Other Non Hispanic,6,Queens,43425
2004,5,25-34,2,Female,5,Hispanic,6,Queens,50949
2004,6,35-44,0,Total,0,Total,6,Queens,367911
2004,6,35-44,0,Total,1,White Non Hispanic,6,Queens,104229
2004,6,35-44,0,Total,2,Black Non Hispanic,6,Queens,71132
2004,6,35-44,0,Total,3,Other Non Hispanic,6,Queens,90474
2004,6,35-44,0,Total,5,Hispanic,6,Queens,102076
2004,6,35-44,1,Male,0,Total,6,Queens,184604
2004,6,35-44,1,Male,1,White Non Hispanic,6,Queens,54993
2004,6,35-44,1,Male,2,Black Non Hispanic,6,Queens,31236
2004,6,35-44,1,Male,3,Other Non Hispanic,6,Queens,46108
2004,6,35-44,1,Male,5,Hispanic,6,Queens,52267
2004,6,35-44,2,Female,0,Total,6,Queens,183307
2004,6,35-44,2,Female,1,White Non Hispanic,6,Queens,49236
2004,6,35-44,2,Female,2,Black Non Hispanic,6,Queens,39896
2004,6,35-44,2,Female,3,Other Non Hispanic,6,Queens,44366
2004,6,35-44,2,Female,5,Hispanic,6,Queens,49809
2004,7,45-54,0,Total,0,Total,6,Queens,313543
2004,7,45-54,0,Total,1,White Non Hispanic,6,Queens,104385
2004,7,45-54,0,Total,2,Black Non Hispanic,6,Queens,61895
2004,7,45-54,0,Total,3,Other Non Hispanic,6,Queens,76568
2004,7,45-54,0,Total,5,Hispanic,6,Queens,70695
2004,7,45-54,1,Male,0,Total,6,Queens,151637
2004,7,45-54,1,Male,1,White Non Hispanic,6,Queens,51897
2004,7,45-54,1,Male,2,Black Non Hispanic,6,Queens,27164
2004,7,45-54,1,Male,3,Other Non Hispanic,6,Queens,39036
2004,7,45-54,1,Male,5,Hispanic,6,Queens,33540
2004,7,45-54,2,Female,0,Total,6,Queens,161906
2004,7,45-54,2,Female,1,White Non Hispanic,6,Queens,52488
2004,7,45-54,2,Female,2,Black Non Hispanic,6,Queens,34731
2004,7,45-54,2,Female,3,Other Non Hispanic,6,Queens,37532
2004,7,45-54,2,Female,5,Hispanic,6,Queens,37155
2004,8,55-64,0,Total,0,Total,6,Queens,224662
2004,8,55-64,0,Total,1,White Non Hispanic,6,Queens,89767
2004,8,55-64,0,Total,2,Black Non Hispanic,6,Queens,45626
2004,8,55-64,0,Total,3,Other Non Hispanic,6,Queens,44609
2004,8,55-64,0,Total,5,Hispanic,6,Queens,44660
2004,8,55-64,1,Male,0,Total,6,Queens,102141
2004,8,55-64,1,Male,1,White Non Hispanic,6,Queens,41976
2004,8,55-64,1,Male,2,Black Non Hispanic,6,Queens,18666
2004,8,55-64,1,Male,3,Other Non Hispanic,6,Queens,21686
2004,8,55-64,1,Male,5,Hispanic,6,Queens,19813
2004,8,55-64,2,Female,0,Total,6,Queens,122521
2004,8,55-64,2,Female,1,White Non Hispanic,6,Queens,47791
2004,8,55-64,2,Female,2,Black Non Hispanic,6,Queens,26960
2004,8,55-64,2,Female,3,Other Non Hispanic,6,Queens,22923
2004,8,55-64,2,Female,5,Hispanic,6,Queens,24847
2004,9,65-74,0,Total,0,Total,6,Queens,143417
2004,9,65-74,0,Total,1,White Non Hispanic,6,Queens,69210
2004,9,65-74,0,Total,2,Black Non Hispanic,6,Queens,26843
2004,9,65-74,0,Total,3,Other Non Hispanic,6,Queens,23924
2004,9,65-74,0,Total,5,Hispanic,6,Queens,23440
2004,9,65-74,1,Male,0,Total,6,Queens,60998
2004,9,65-74,1,Male,1,White Non Hispanic,6,Queens,29824
2004,9,65-74,1,Male,2,Black Non Hispanic,6,Queens,10301
2004,9,65-74,1,Male,3,Other Non Hispanic,6,Queens,11244
2004,9,65-74,1,Male,5,Hispanic,6,Queens,9629
2004,9,65-74,2,Female,0,Total,6,Queens,82419
2004,9,65-74,2,Female,1,White Non Hispanic,6,Queens,39386
2004,9,65-74,2,Female,2,Black Non Hispanic,6,Queens,16542
2004,9,65-74,2,Female,3,Other Non Hispanic,6,Queens,12680
2004,9,65-74,2,Female,5,Hispanic,6,Queens,13811
2004,10,75-84,0,Total,0,Total,6,Queens,104450
2004,10,75-84,0,Total,1,White Non Hispanic,6,Queens,65919
2004,10,75-84,0,Total,2,Black Non Hispanic,6,Queens,16445
2004,10,75-84,0,Total,3,Other Non Hispanic,6,Queens,11068
2004,10,75-84,0,Total,5,Hispanic,6,Queens,11018
2004,10,75-84,1,Male,0,Total,6,Queens,39668
2004,10,75-84,1,Male,1,White Non Hispanic,6,Queens,25415
2004,10,75-84,1,Male,2,Black Non Hispanic,6,Queens,5577
2004,10,75-84,1,Male,3,Other Non Hispanic,6,Queens,4855
2004,10,75-84,1,Male,5,Hispanic,6,Queens,3821
2004,10,75-84,2,Female,0,Total,6,Queens,64782
2004,10,75-84,2,Female,1,White Non Hispanic,6,Queens,40504
2004,10,75-84,2,Female,2,Black Non Hispanic,6,Queens,10868
2004,10,75-84,2,Female,3,Other Non Hispanic,6,Queens,6213
2004,10,75-84,2,Female,5,Hispanic,6,Queens,7197
2004,11,85+,0,Total,0,Total,6,Queens,43034
2004,11,85+,0,Total,1,White Non Hispanic,6,Queens,30879
2004,11,85+,0,Total,2,Black Non Hispanic,6,Queens,5437
2004,11,85+,0,Total,3,Other Non Hispanic,6,Queens,3102
2004,11,85+,0,Total,5,Hispanic,6,Queens,3616
2004,11,85+,1,Male,0,Total,6,Queens,13344
2004,11,85+,1,Male,1,White Non Hispanic,6,Queens,9526
2004,11,85+,1,Male,2,Black Non Hispanic,6,Queens,1533
2004,11,85+,1,Male,3,Other Non Hispanic,6,Queens,1250
2004,11,85+,1,Male,5,Hispanic,6,Queens,1035
