year,pct,arstmade,frisked,searched,sex,race,age,build,city,crimsusp,arstoffn
2015,5,N,N,N,M,W,27,M,MANHATTAN,FEL, 
2015,25,N,N,N,M,B,61,T,MANHATTAN,FEL, 
2015,44,Y,N,Y,M,B,33,T,BRONX,GLA,GLA
2015,44,Y,N,Y,M,B,39,M,BRONX,GLA,GLA
2015,44,Y,N,Y,M,B,44,T,BRONX,GLA,GLA
2015,44,Y,N,Y,M,B,24,T,BRONX,GLA,GLA
2015,20,N,N,N,M,B,44,H,MANHATTAN,MISD, 
2015,25,N,Y,N,M,B,24,T,MANHATTAN,FEL, 
2015,105,N,Y,N,M,B,26,M,QUEENS,FEL, 
2015,105,N,Y,N,M,B,30,M,QUEENS,FEL, 
2015,25,N,N,N,M,B,22,M,MANHATTAN,FEL, 
2015,25,N,N,N,M,B,22,T,MANHATTAN,FEL, 
2015,83,Y,N,N,M,B,63,M,BROOKLYN,MISD,PETIT LARCENY
2015,83,Y,Y,N,M,B,40,M,BROOKLYN,MISD,POSS BURGLAR TOOLS PL 140.35
2015,107,N,N,N,M,Q,46,M,QUEENS,BURGLARY, 
2015,25,N,N,N,M,B,57,T,MANHATTAN,MISD, 
2015,25,Y,Y,N,M,B,22,M,MANHATTAN,FEL,155.30(6)
2015,25,Y,Y,Y,M,Q,22,M,MANHATTAN,FEL,155.30(06)
2015,30,Y,Y,Y,M,P,28,Z,MANHATTAN,FEL  / ROBBERY,CPW
2015,13,Y,Y,Y,F,B,25,M,MANHATTAN,FELONY,155.3
2015,13,N,N,N,M,B,26,T,MANHATTAN,FELONY, 
2015,84,N,N,N,M,B,14,T,BROOKLYN,ASSAULT, 
2015,84,N,N,N,M,B,19,T,BROOKLYN,ASSAULT, 
2015,84,N,N,N,M,P,17,T,BROOKLYN,ASSAULT, 
2015,120,N,N,N,F,W,56,M,STATEN IS,BURG, 
2015,110,Y,Y,Y,M,Q,15,T,QUEENS,MISDEMEANOR,CPW
2015,66,N,Y,Y,M,B,18,T,BROOKLYN,BURGLARY, 
2015,105,N,Y,N,M,B,24,H,QUEENS,FEL, 
2015,105,N,Y,N,M,Q,35,M,QUEENS,FEL, 
2015,10,N,Y,N,M,Q,57,M,MANHATTAN,FELONY, 
2015,5,N,Y,N,M,Q,34,H,MANHATTAN,FEL, 
2015,44,N,Y,N,M,P,20,T,BRONX,FELONY, 
2015,28,N,N,N,M,W,52,M,MANHATTAN,MISD, 
2015,107,Y,Y,Y,M,W,31,M,QUEENS,BURGLARY,CPW
2015,7,N,N,N,M,Q,60,M,MANHATTAN,FELONY, 
2015,13,Y,Y,N,M,B,36,M,MANHATTAN,MISD,175.15
2015,114,N,N,N,M,W,19,T,QUEENS,FEL, 
2015,114,N,N,N,M,W,21,M,QUEENS,FEL, 
2015,70,N,Y,N,M,B,22,M,BROOKLYN,FEL, 
2015,106,N,Y,N,M,Q,19,T,QUEENS,FELONY, 
2015,106,N,Y,N,M,Q,17,T,QUEENS,FELONY, 
2015,106,N,N,N,M,B,24,T,QUEENS,FELONY, 
2015,120,N,Y,N,M,B,34,M,STATEN IS,ASSAULT, 
2015,67,N,Y,N,M,B,35,T,BROOKLYN,FEL, 
2015,120,N,Y,N,M,B,18,T,STATEN IS,CPW, 
2015,106,N,N,N,M,B,32,T,QUEENS,FELONY, 
2015,106,N,N,N,M,W,39,H,QUEENS,FELONY, 
2015,25,Y,N,N,M,B,48,M,MANHATTAN,MISD,CPCS 7 / CRIM TRES
2015,47,N,Y,N,M,P,25,M,BRONX,FEL, 
2015,83,N,Y,N,M,Q,23,M,BROOKLYN,FEL, 
2015,83,N,Y,Y,M,P,23,T,BROOKLYN,FELONY, 
2015,106,N,Y,Y,M,B,24,M,QUEENS,FELONY, 
2015,106,N,Y,Y,M,B,18,M,QUEENS,FELONY, 
2015,14,N,Y,N,M,W,60,M,MANHATTAN,FEL, 
2015,83,N,Y,N,M,Q,18,T,BROOKLYN,MISD, 
2015,83,N,Y,N,M,Q,24,H,BROOKLYN,MISD, 
2015,49,N,Y,N,F,W,18,T,BRONX,GLA, 
2015,49,N,Y,N,M,Q,21,T,BRONX,GLA, 
2015,49,N,Y,N,M,W,26,M,BRONX,GLA, 
2015,83,N,Y,N,M,B,26,T,BROOKLYN,FELONY, 
2015,33,N,Y,N,F,Q,18,T,MANHATTAN,MISD, 
2015,33,N,N,N,F,Q,17,T,MANHATTAN,MISD, 
2015,33,N,Y,N,M,P,17,T,MANHATTAN,MISD, 
2015,43,N,Y,N,M,Q,42,M,BRONX,MISD, 
2015,70,N,Y,N,M,Q,37,T,BROOKLYN,FELONY/ROBBERY, 
2015,114,N,Y,N,M,Q,23,M,QUEENS,FEL, 
2015,106,N,Y,N,M,B,27,T,QUEENS,FELONY, 
2015,106,N,Y,Y,M,B,40,M,QUEENS,FELONY, 
2015,13,Y,Y,Y,M,A,43,M,MANHATTAN,MISD,265.01(1)
2015,25,N,N,N,M,B,23,M,MANHATTAN,FEL, 
2015,14,N,N,N,M,B,53,T,MANHATTAN,FEL, 
2015,14,N,Y,N,M,Q,30,T,MANHATTAN,FEL, 
2015,114,N,Y,N,M,W,47,H,QUEENS,FEL, 
2015,66,N,N,N,M,B,20,T,BROOKLYN,BURGLARY, 
2015,104,N,Y,N,M,W,48,M,QUEENS,MISD, 
2015,104,N,Y,N,M,W,41,M,QUEENS,CPCS, 
2015,104,N,Y,N,M,Z,47,M,QUEENS,FELONY, 
2015,25,Y,Y,Y,M,B,31,T,MANHATTAN,MISD,265.01
2015,40,Y,Y,N,M,Q,31,M,BRONX,CRIMINAL TRESPASS,CRIMINAL TRESPASS
2015,40,Y,N,Y,F,Q,51,M,BRONX,CRIMINAL TRESPASS,CRIMINAL TRESPASS
