year,pct,sex,race,age,build,city,crimsusp
2014,112,M,W,45,M,QUEENS,FEL GLFA
2014,44,M,B,29,T,BRONX,ROBERY
2014,67,M,B,33,M,BROOKLYN,FEL
2014,40,F,B,46,M,BRONX,CRIMINAL TRESPASS
2014,40,M,B,36,M,BRONX,CT
2014,67,M,B,32,T,BROOKLYN,FEL
2014,41,M,B,21,T,BRONX,CPW
2014,73,M,B,60,T,BROOKLYN,MISD
2014,60,M,P,22,M,BROOKLYN,FELONY
2014,25,F,Q,24,M,MANHATTAN,MISD
2014,25,M,B,24,M,MANHATTAN,MISD
2014,25,M,B,23,T,MANHATTAN,MISD
2014,67,M,B,30,M,BROOKLYN,FEL
2014,43,M,Q,36,M,BRONX,MISD
2014,79,M,B,26,M,BROOKLYN,ROBBERY
2014,94,M,B,25,H,BROOKLYN,FELONY
2014,115,M,Q,34,H,QUEENS,FELONY
2014,67,M,A,30,T,BROOKLYN,MISD
2014,46,M,B,31,T,BRONX,ROBBERY
2014,67,M,B,31,M,BROOKLYN,FEL
2014,122,M,W,19,T,STATEN ISLAND,GLA
2014,122,M,W,19,T,STATEN ISLAND,GLA
2014,40,M,Q,34,M,BRONX,MISD
2014,44,M,Q,18,T,BRONX,ROBBERY / CPW
2014,40,F,Q,20,M,BRONX,MISD
2014,25,M,B,29,M,MANHATTAN,MISD
2014,122,M,W,21,T,STATEN ISLAND,GLA
2014,122,M,W,21,T,STATEN ISLAND,GLA
2014,120,M,B,42,T,STATEN ISLAND,CPCS
2014,33,M,B,35,H,MANHATTAN,CPW
2014,67,M,B,26,H,BROOKLYN,FEL
2014,67,M,B,42,M,BROOKLYN,FEL
2014,44,M,B,42,M,BRONX,CPW
2014,67,M,B,39,M,BROOKLYN,FEL
2014,33,M,P,39,M,MANHATTAN,CPW
2014,23,M,B,25,T,MANHATTAN,FELONY
2014,106,M,Q,27,T,QUEENS,FELONY
2014,7,M,B,18,T,MANHATTAN,MISD
2014,7,M,Z,17,T,MANHATTAN,MISD
2014,79,M,B,17,T,BROOKLYN,FELONY
2014,44,M,B,33,M,BRONX,ROBBERY
2014,79,M,Q,20,T,BROOKLYN,FELONY
2014,9,M,P,29,M,MANHATTAN,MISD
2014,76,M,Q,30,M,BROOKLYN,FEL
2014,52,M,P,24,T,BRONX,MISD
2014,76,M,W,30,M,BROOKLYN,FEL
2014,107,M,Q,46,M,QUEENS,CRIMINAL TRESPASS
2014,77,M,B,19,M,BROOKLYN,CPW
2014,41,M,Q,26,T,BRONX,GLA
2014,7,M,B,16,T,MANHATTAN,MISD
2014,122,M,Q,43,M,STATEN ISLAND,ROBB
2014,33,M,B,30,T,MANHATTAN,FELONY
2014,107,M,Q,39,M,QUEENS,GRAND LARCENY
2014,104,M,W,27,T,QUEENS,UNAUTHORIZED USE
2014,104,M,W,31,T,QUEENS,UNAUTHORIZED USE/CPW
2014,68,M,W,28,M,BROOKLYN,FELONY
2014,41,M,Q,30,T,BRONX,CPW
2014,76,F,B,18,M,BROOKLYN,ASSAULT
2014,101,M,B,45,M,QUEENS,FEL
2014,120,M,P,26,M,STATEN ISLAND,GLA
2014,120,M,Q,34,M,STATEN ISLAND,PETIT LARCENY
2014,79,M,B,36,M,BROOKLYN,G LARCENY
